datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B_SOLL;B;B1;C;D1;D2;D1_LISTE_EU;D1_LISTE;D1_SUMME_KANDIDATEN;D1_SUMME_LISTE_KANDIDATEN;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D1_21;D1_22;D1_23;D1_24;D1_25;D1_26;D1_27;D1_28;D1_29;D1_30;D1_31;D1_32;D1_33;D1_34;D1_35;D1_36;D1_37;D1_38;D1_39;D1_40;D1_41;D1_42;D1_43;D1_44;D1_45;D1_46;D1_47;D1_48;D1_49;D1_50;D1_51;D1_52;D1_53;D1_54;D1_55;D1_56;D1_57;D1_58;D1_59;D1_60;D1_61;D1_62;D1_63;D1_64;D1_65;D1_66;D1_67;D2_LISTE_EU;D2_LISTE;D2_SUMME_KANDIDATEN;D2_SUMME_LISTE_KANDIDATEN;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D2_15;D2_16;D2_17;D2_18;D2_19;D2_20;D2_21;D2_22;D2_23;D2_24;D2_25;D2_26;D2_27;D2_28;D2_29;D2_30;D2_31;D2_32;D2_33;D2_34;D2_35;D2_36;D2_37;D2_38;D2_39;D2_40;D2_41;D2_42;D2_43;D2_44;D2_45;D2_46;D2_47;D2_48;D2_49;D2_50;D2_51;D2_52;D2_53;D2_54;D3_LISTE_EU;D3_LISTE;D3_SUMME_KANDIDATEN;D3_SUMME_LISTE_KANDIDATEN;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D3_15;D3_16;D3_17;D3_18;D3_19;D3_20;D3_21;D3_22;D3_23;D3_24;D3_25;D3_26;D3_27;D3_28;D3_29;D3_30;D3_31;D3_32;D4_LISTE_EU;D4_LISTE;D4_SUMME_KANDIDATEN;D4_SUMME_LISTE_KANDIDATEN;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D4_15;D4_16;D4_17;D4_18;D4_19;D4_20;D4_21;D5_LISTE_EU;D5_LISTE;D5_SUMME_KANDIDATEN;D5_SUMME_LISTE_KANDIDATEN;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D5_21;D5_22;D5_23;D5_24;D5_25;D5_26;D5_27;D5_28;D6_LISTE_EU;D6_LISTE;D6_SUMME_KANDIDATEN;D6_SUMME_LISTE_KANDIDATEN;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D6_8;D6_9;D6_10;D6_11;D6_12;D6_13;D7_LISTE_EU;D7_LISTE;D7_SUMME_KANDIDATEN;D7_SUMME_LISTE_KANDIDATEN;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D7_15;D7_16;D7_17;D7_18;D7_19;D8_LISTE_EU;D8_LISTE;D8_SUMME_KANDIDATEN;D8_SUMME_LISTE_KANDIDATEN;D8_1;D8_2;D8_3;D8_4;D8_5;D8_6;D8_7;D8_8;D8_9;D8_10;D8_11;D8_12;D8_13;D8_14;D8_15;D8_16;D8_17;D8_18;D8_19;D8_20;D8_21;D8_22;D8_23;D8_24;D8_25;D8_26;D8_27;D8_28;D8_29;D8_30;D8_31;D8_32;D8_33;D8_34;D8_35;D8_36;D9_LISTE_EU;D9_LISTE;D9_SUMME_KANDIDATEN;D9_SUMME_LISTE_KANDIDATEN;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D9_9;D9_10;D9_11;D9_12;D9_13;D9_14;D9_15;D9_16;D9_17;D10_LISTE_EU;D10_LISTE;D10_SUMME_KANDIDATEN;D10_SUMME_LISTE_KANDIDATEN;D10_1;D10_2;D10_3;D10_4;D10_5;D10_6;D10_7;D10_8;D10_9;D10_10;D10_11;D10_12;D10_13;D12_LISTE_EU;D12_LISTE;D12_SUMME_KANDIDATEN;D12_SUMME_LISTE_KANDIDATEN;D12_1;D12_2;D12_3;D12_4;D12_5;D12_6;D12_7;D12_8;D12_9;D12_10;D12_11;D12_12;D12_13;D12_14;D13_LISTE_EU;D13_LISTE;D13_SUMME_KANDIDATEN;D13_SUMME_LISTE_KANDIDATEN;D13_1;D14_LISTE_EU;D14_LISTE;D14_SUMME_KANDIDATEN;D14_SUMME_LISTE_KANDIDATEN;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D15_LISTE_EU;D15_LISTE;D15_SUMME_KANDIDATEN;D15_SUMME_LISTE_KANDIDATEN;D15_1;D15_2;D15_3
26.05.2019;Bürgerschaftswahl;04011000;111-01;111-01 Altstadt;1;1;1051;341;1;1393;585;585;2;12;573;2850;0;341;206;547;86;4;15;1;0;10;2;13;0;1;0;0;0;0;0;6;0;2;0;1;0;0;0;0;0;0;1;0;1;5;0;0;1;1;1;1;0;0;10;0;1;0;2;10;0;10;0;0;1;0;1;0;1;3;1;0;0;1;0;0;0;1;2;3;3;4;0;0;374;379;753;268;1;2;9;9;0;2;8;0;2;0;4;0;6;0;1;3;0;0;0;0;0;5;0;8;0;0;6;0;0;5;10;0;6;0;0;0;0;0;3;0;5;0;0;0;0;2;0;2;1;6;1;3;1;0;442;168;610;33;10;20;6;5;3;8;11;3;0;0;2;8;23;1;3;2;3;0;0;5;1;7;0;3;0;0;5;1;0;0;5;0;227;104;331;39;6;1;2;16;0;5;0;0;4;0;1;3;0;0;0;4;22;0;0;1;0;120;109;229;85;8;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;4;0;114;24;138;9;3;3;0;5;0;0;0;0;1;0;0;3;0;21;28;49;17;4;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;66;8;74;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;44;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;10;19;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;22;5;27;0;0;0;1;2;2;0;12;0;12;0;0;0
26.05.2019;Bürgerschaftswahl;04011000;111-02;111-02 Altstadt;1;1;827;247;0;1074;483;483;0;4;479;2387;0;223;149;372;75;6;17;1;1;1;6;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;13;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;5;0;0;318;293;611;203;1;4;0;11;2;1;4;2;0;4;4;0;1;0;2;5;0;1;0;6;0;0;1;0;0;0;0;0;0;2;13;0;5;1;1;0;3;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;334;122;456;20;9;7;7;12;0;9;3;3;3;1;2;1;9;1;3;2;1;1;0;3;0;14;0;0;1;5;2;2;0;0;1;0;256;99;355;30;9;2;8;8;2;3;1;13;1;1;5;3;1;2;1;7;1;0;0;1;0;158;117;275;67;3;6;1;8;3;1;0;0;4;1;1;0;0;0;2;0;0;0;1;0;3;1;0;0;0;0;15;0;76;30;106;4;4;3;0;5;5;0;0;5;1;3;0;0;0;6;18;24;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;22;63;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;1;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;19;15;34;1;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;8;12;20;9;0;0;2;0;0;0;1;0;0;0;0;0;0;23;8;31;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;8;1;9;0;1;0;0;0;0;0;26;1;27;1;0;0
26.05.2019;Bürgerschaftswahl;04011000;112-01;112-01 Bahnhofsvorstadt;1;1;863;154;0;1017;449;449;1;11;438;2161;0;241;336;577;153;2;29;1;7;1;2;6;0;0;1;2;9;0;1;6;10;9;1;1;0;0;1;0;0;0;1;0;1;5;0;0;6;3;0;10;0;0;1;1;0;1;1;6;0;1;4;0;2;1;1;1;25;0;1;2;0;2;0;0;0;1;0;0;2;15;0;0;239;151;390;88;4;0;2;3;1;2;2;4;2;0;7;0;3;0;0;2;3;0;0;0;0;0;0;5;0;2;0;0;0;1;4;0;5;1;0;0;1;0;0;0;2;0;0;0;0;0;1;4;0;0;0;2;0;0;285;119;404;25;3;10;1;3;2;4;0;0;1;1;1;6;24;3;3;6;2;0;0;2;0;2;0;0;0;8;0;0;1;2;9;0;238;56;294;25;0;0;0;4;0;2;0;0;0;1;1;2;1;0;0;7;11;2;0;0;0;85;36;121;31;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;29;77;7;1;5;1;4;0;0;3;5;3;0;0;0;0;21;3;24;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;24;110;1;0;0;0;2;0;0;1;1;0;0;0;0;1;1;3;0;0;0;0;0;0;0;5;1;0;0;1;5;0;0;0;0;0;0;2;0;35;3;38;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;25;7;32;0;1;3;0;0;0;0;2;0;0;0;0;1;0;2;5;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;57;7;64;1;3;0;1;1;1;0;20;0;20;0;0;0
26.05.2019;Bürgerschaftswahl;04011000;112-02;112-02 Bahnhofsvorstadt;1;1;919;290;4;1213;422;422;0;8;414;2049;0;227;175;402;98;2;14;7;0;6;1;4;0;0;0;0;1;0;0;1;0;1;1;0;0;0;5;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;8;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;5;0;0;209;148;357;108;0;1;0;1;1;0;2;2;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;1;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;363;111;474;40;1;2;0;9;2;2;2;8;3;4;3;2;14;1;2;1;1;0;0;1;0;4;0;3;0;1;0;1;0;0;4;0;271;65;336;11;8;1;2;2;0;9;0;12;0;1;0;9;2;0;2;1;5;0;0;0;0;68;35;103;26;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;100;29;129;26;1;0;0;2;0;0;0;0;0;0;0;0;0;23;7;30;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;7;107;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;8;31;0;0;0;0;5;1;0;2;0;0;0;0;0;0;0;0;0;0;20;13;33;1;3;0;3;0;0;0;0;6;0;0;0;0;0;10;3;13;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;8;0;0;15;2;17;0;1;0;0;1;0;0;8;1;9;0;1;0
26.05.2019;Bürgerschaftswahl;04011000;112-03;112-03 Bahnhofsvorstadt;1;1;991;325;0;1316;659;659;3;10;649;3224;0;387;283;670;105;17;32;4;1;1;6;20;1;2;2;8;5;1;0;5;2;6;16;1;0;0;0;1;3;0;0;0;6;0;0;0;0;2;0;0;1;0;10;2;0;0;0;5;0;5;0;0;1;0;0;0;0;0;5;0;0;1;0;2;0;0;0;0;1;3;0;0;325;364;689;245;3;4;2;2;2;0;3;10;0;0;1;9;4;0;0;11;0;0;0;0;2;2;0;5;0;0;0;2;1;0;2;0;2;1;5;1;7;0;0;0;25;5;0;0;0;0;0;7;0;0;0;1;0;0;546;163;709;37;0;11;2;17;1;7;4;12;1;6;0;2;33;7;1;0;3;1;0;3;0;7;0;0;0;1;0;0;0;1;6;0;376;137;513;65;1;0;7;12;2;12;0;5;0;1;0;6;4;1;4;5;8;0;2;2;0;157;53;210;31;1;2;0;0;5;0;3;2;0;0;3;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;1;0;94;39;133;7;0;6;5;8;0;0;5;0;0;3;5;0;0;17;6;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;12;97;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;34;6;40;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;31;3;34;0;0;0;0;0;0;0;0;0;3;0;0;0;0;10;10;20;4;0;0;0;1;0;5;0;0;0;0;0;0;0;0;2;0;2;0;0;69;2;71;0;0;0;0;1;1;0;13;0;13;0;0;0
26.05.2019;Bürgerschaftswahl;04011000;113-01;113-01 Ostertor;1;1;994;357;0;1351;683;683;2;10;673;3350;0;354;261;615;108;16;14;1;2;7;1;30;0;5;0;7;0;0;0;1;0;5;0;2;0;2;0;0;0;0;2;0;0;2;1;0;0;0;1;0;0;0;16;2;0;5;0;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;2;21;0;0;293;208;501;162;6;3;2;1;0;2;5;0;0;6;1;0;0;0;7;0;0;1;0;0;0;1;0;1;0;0;0;1;1;3;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;633;322;955;62;6;16;10;23;9;27;16;7;3;7;9;2;26;19;13;8;1;1;2;0;2;26;1;1;4;8;1;3;0;0;9;0;649;245;894;98;12;2;16;18;8;12;1;1;4;2;2;21;6;8;3;9;13;4;5;0;0;61;34;95;25;1;0;1;0;0;0;0;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;40;21;61;14;0;5;0;0;0;0;2;0;0;0;0;0;0;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;11;71;0;0;0;1;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;24;5;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;30;1;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;33;34;25;3;2;2;0;1;0;0;0;0;0;0;0;0;0;1;11;12;11;0;13;6;19;1;2;1;1;1;0;0;17;1;18;0;0;1
26.05.2019;Bürgerschaftswahl;04011000;113-02;113-02 Ostertor;1;1;952;330;0;1282;680;680;4;13;667;3314;0;333;202;535;76;10;3;5;0;14;1;34;0;1;1;3;0;0;0;5;0;1;0;0;0;0;7;0;0;0;4;1;0;1;0;8;0;3;1;0;0;0;1;0;0;0;2;4;1;0;1;1;2;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;155;186;341;148;3;6;0;10;0;1;0;0;0;3;0;0;0;0;0;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;626;354;980;41;1;22;5;5;16;30;15;2;5;32;3;7;51;6;7;10;2;0;5;1;3;60;0;11;0;2;6;0;1;1;4;0;723;307;1030;112;10;19;10;19;11;39;0;13;6;2;14;15;6;13;3;7;0;1;4;3;0;60;47;107;25;0;1;1;0;6;0;0;1;6;0;0;1;0;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;43;6;49;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;42;138;4;3;0;3;0;0;0;2;5;1;0;0;0;0;2;0;5;0;0;1;0;2;0;0;1;1;1;0;3;0;0;0;2;0;5;1;0;16;10;26;4;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;4;41;0;0;0;0;0;1;0;0;0;2;0;0;1;0;9;15;24;11;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;26;1;27;0;0;0;0;0;1;0;13;2;15;0;2;0
26.05.2019;Bürgerschaftswahl;04011000;113-03;113-03 Ostertor;1;1;846;362;1;1209;665;665;1;9;656;3230;0;307;248;555;80;13;34;11;0;9;2;53;1;1;0;0;2;1;1;7;0;7;0;1;0;0;1;0;0;0;3;3;2;6;1;1;0;0;1;1;0;0;2;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;224;461;176;4;5;3;2;0;0;6;0;0;11;0;0;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;1;1;5;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;616;430;1046;104;2;28;4;6;11;25;6;2;1;37;3;2;56;6;10;34;5;2;0;3;1;71;0;5;0;0;2;0;0;1;3;0;639;226;865;101;8;5;3;25;2;52;3;3;0;1;7;1;0;1;5;8;0;0;0;1;0;70;37;107;19;2;3;1;1;5;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;29;2;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;15;63;4;2;1;2;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;16;2;0;0;0;0;0;0;0;0;0;0;2;0;0;21;11;32;6;2;1;0;0;1;1;0;0;0;0;0;0;0;0;9;0;9;0;0;9;0;9;0;0;0;0;0;0;0;16;0;16;0;0;0
26.05.2019;Bürgerschaftswahl;04011000;113-04;113-04 Ostertor;1;1;813;478;0;1291;652;652;0;13;639;3191;0;293;323;616;122;13;28;2;2;22;6;35;1;0;0;2;1;0;0;4;0;1;0;1;0;1;2;1;0;0;10;0;0;1;0;5;0;0;0;0;4;0;22;0;2;8;5;8;0;0;6;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;1;1;0;332;274;606;224;1;0;0;8;0;0;4;2;0;6;0;5;0;1;6;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;507;380;887;90;1;17;2;1;18;28;40;3;1;44;0;3;17;5;5;12;3;5;0;4;0;67;3;0;1;1;1;8;0;0;0;0;484;241;725;115;7;10;11;8;4;47;1;1;1;3;2;6;2;7;1;7;2;1;2;3;0;68;42;110;32;1;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;44;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;10;61;1;0;0;1;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;11;28;6;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;15;2;17;1;0;0;0;0;0;0;0;0;1;0;0;0;0;6;52;58;31;0;0;0;1;17;0;0;1;0;1;1;0;0;0;8;0;8;0;0;15;0;15;0;0;0;0;0;0;0;9;0;9;0;0;0
26.05.2019;Bürgerschaftswahl;04011000;113-05;113-05 Ostertor;1;1;950;405;0;1355;610;610;0;13;597;2963;0;377;287;664;134;2;16;1;0;10;3;20;0;9;3;1;2;1;1;10;7;1;1;0;0;1;0;0;1;0;1;0;0;0;0;6;0;0;0;0;0;0;22;1;1;2;0;11;0;7;0;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;187;163;350;128;6;1;0;4;0;1;3;0;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;611;189;800;40;4;7;5;7;2;11;7;1;1;6;4;1;29;17;9;1;3;0;0;6;0;3;0;2;3;9;0;0;3;0;8;0;499;260;759;96;11;14;10;24;1;37;5;5;0;1;2;10;6;9;1;14;12;0;0;2;0;60;41;101;27;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;1;1;0;0;5;0;56;6;62;4;0;2;0;0;0;0;0;0;0;0;0;0;0;17;7;24;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;7;88;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;34;10;44;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;5;0;0;8;2;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;19;18;37;15;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;3;1;0;12;0;12;0;0;0;0;0;0;0;9;0;9;0;0;0
