Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Stimmzettel ungueltige (C);Stimmzettel gueltige (D1);Stimmen gueltige (D2);D01;D01 Personenstimmen;D01 Listenstimmen;D01_1;D01_2;D01_3;D01_4;D01_5;D01_6;D01_7;D01_8;D01_9;D01_10;D01_11;D01_12;D01_13;D01_14;D01_15;D01_16;D01_17;D01_18;D01_19;D01_20;D01_21;D01_22;D01_23;D01_24;D01_25;D01_26;D01_27;D01_28;D01_29;D01_30;D01_31;D01_32;D01_33;D01_34;D01_35;D01_36;D01_37;D01_38;D01_39;D01_40;D01_41;D01_42;D01_43;D01_44;D01_45;D01_46;D01_47;D01_48;D01_49;D01_50;D01_51;D01_52;D01_53;D02;D02 Personenstimmen;D02 Listenstimmen;D02_1;D02_2;D02_3;D02_4;D02_5;D02_6;D02_7;D02_8;D02_9;D02_10;D02_11;D02_12;D02_13;D02_14;D02_15;D02_16;D02_17;D02_18;D02_19;D02_20;D02_21;D02_22;D02_23;D02_24;D02_25;D02_26;D02_27;D02_28;D02_29;D02_30;D02_31;D02_32;D02_33;D02_34;D02_35;D02_36;D02_37;D02_38;D02_39;D02_40;D02_41;D02_42;D02_43;D02_44;D02_45;D02_46;D02_47;D02_48;D02_49;D02_50;D02_51;D02_52;D02_53;D02_54;D02_55;D02_56;D02_57;D02_58;D02_59;D03;D03 Personenstimmen;D03 Listenstimmen;D03_1;D03_2;D03_3;D03_4;D03_5;D03_6;D03_7;D03_8;D03_9;D03_10;D03_11;D03_12;D03_13;D03_14;D03_15;D03_16;D03_17;D03_18;D03_19;D03_20;D03_21;D03_22;D03_23;D03_24;D03_25;D03_26;D03_27;D03_28;D03_29;D03_30;D03_31;D03_32;D04;D04 Personenstimmen;D04 Listenstimmen;D04_1;D04_2;D04_3;D04_4;D04_5;D04_6;D04_7;D04_8;D04_9;D04_10;D04_11;D04_12;D04_13;D04_14;D04_15;D04_16;D04_17;D04_18;D04_19;D04_20;D04_21;D04_22;D04_23;D04_24;D05;D05 Personenstimmen;D05 Listenstimmen;D05_1;D05_2;D05_3;D05_4;D05_5;D05_6;D05_7;D05_8;D05_9;D05_10;D05_11;D05_12;D05_13;D05_14;D05_15;D05_16;D05_17;D05_18;D05_19;D05_20;D06;D06 Personenstimmen;D06 Listenstimmen;D06_1;D06_2;D06_3;D06_4;D06_5;D06_6;D06_7;D06_8;D06_9;D06_10;D06_11;D06_12;D06_13;D06_14;D06_15;D06_16;D06_17;D06_18;D06_19;D06_20;D07;D07 Personenstimmen;D07 Listenstimmen;D07_1;D07_2;D07_3;D07_4;D07_5;D07_6;D07_7;D07_8;D07_9;D07_10;D07_11;D07_12;D07_13;D07_14;D07_15;D09;D09 Personenstimmen;D09 Listenstimmen;D09_1;D09_2;D09_3;D09_4;D09_5;D09_6;D09_7;D09_8;D09_9;D09_10;D10;D10 Personenstimmen;D10 Listenstimmen;D10_1;D10_2;D10_3;D10_4;D10_5;D11;D11 Personenstimmen;D11 Listenstimmen;D11_1;D11_2;D11_3;D11_4;D12;D12 Personenstimmen;D12 Listenstimmen;D12_1;D12_2;D12_3;D13;D13 Personenstimmen;D13 Listenstimmen;D13_1;D13_2;D13_3;D13_4;D14;D14 Personenstimmen;D14 Listenstimmen;D14_1;D15;D15 Personenstimmen;D15 Listenstimmen;D15_1;D15_2;D16;D16 Personenstimmen;D16 Listenstimmen;D16_1;D16_2;D16_3;D16_4;D16_5;D16_6;
04011000;Bremen;04011000;GEMEINDE;Bremen;;381421;279722;101675;24;227160;133823;93337;5376;221784;1098932;296158;125248;170910;54033;20205;1380;1800;1830;1299;4671;2066;3517;1158;649;810;830;450;1359;1919;3462;407;613;568;768;322;343;324;5839;1285;735;397;360;400;430;413;1776;413;621;316;803;205;991;209;212;151;1794;427;370;373;300;152;178;301;480;181;353;328835;208683;120152;141420;3092;16354;1465;2514;1013;800;728;2220;836;410;781;607;560;1614;702;1859;790;405;508;1593;1838;326;386;1322;589;1144;269;186;189;538;355;2960;396;3117;529;3118;142;422;356;1479;958;389;1036;332;1385;246;440;1329;290;284;283;380;230;85;336;153;344;251;128442;38858;89584;7987;1410;4534;1759;2286;767;777;1583;1855;335;1188;752;667;4956;546;704;385;574;436;536;1038;282;538;198;859;504;363;182;191;150;184;332;127559;66563;60996;26212;17681;2459;1420;1055;665;721;632;686;2879;530;2971;265;1746;1066;998;556;308;370;353;724;1804;265;197;55532;15740;39792;7397;783;361;348;592;284;642;170;190;257;181;347;157;272;555;2080;276;189;174;485;81203;18499;62704;5130;1141;1176;1319;829;564;524;843;451;332;544;528;481;397;532;757;893;650;710;698;12052;2506;9546;251;203;216;166;214;228;135;203;90;75;101;172;79;139;234;9988;2362;7626;584;347;225;126;192;87;347;200;121;133;5351;846;4505;246;267;118;116;99;1993;521;1472;202;169;81;69;7912;875;7037;296;399;180;3756;724;3032;162;188;84;290;1484;224;1260;224;13819;1376;12443;831;545;24848;4164;20684;2495;587;410;320;197;155;
04011000;Bremen;04011000-1;STADTBEZIRK;Mitte;;12022;8150;3868;4;7669;4087;3582;103;7566;37666;6762;2374;4388;1138;445;20;16;22;7;141;50;50;18;1;5;8;16;24;18;16;1;13;7;21;1;1;79;42;13;16;5;1;7;4;10;15;13;8;2;9;33;14;5;8;1;15;6;1;5;10;0;0;2;3;0;8;9308;5729;3579;3817;164;498;52;64;10;69;19;69;3;12;65;39;7;33;3;99;7;3;4;66;16;2;10;19;10;16;6;2;7;27;7;40;63;84;5;78;15;1;6;15;12;4;61;0;62;5;17;3;0;0;3;3;3;4;13;0;7;0;7176;2328;4848;427;65;181;81;118;27;48;58;142;23;60;37;64;483;9;26;39;56;16;33;82;21;18;2;78;37;32;29;7;1;7;21;7441;3552;3889;1245;848;145;104;44;43;53;24;41;284;28;68;25;90;56;31;40;18;35;3;41;241;29;16;1893;448;1445;241;39;9;18;17;7;8;1;4;6;9;12;3;4;6;21;4;3;1;35;1123;238;885;59;4;13;13;6;51;3;12;11;13;4;1;9;3;0;13;15;2;6;0;686;142;544;12;16;5;21;10;9;10;0;10;7;7;8;11;9;7;387;71;316;28;3;4;0;0;1;15;13;5;2;325;30;295;1;9;2;15;3;108;15;93;6;6;0;3;645;67;578;24;31;12;144;19;125;3;5;1;10;62;17;45;17;474;28;446;11;17;1132;191;941;130;23;17;6;9;6;
04011000;Bremen;04011000-11;STADTTEIL;Mitte;;12022;8150;3868;4;7669;4087;3582;103;7566;37666;6762;2374;4388;1138;445;20;16;22;7;141;50;50;18;1;5;8;16;24;18;16;1;13;7;21;1;1;79;42;13;16;5;1;7;4;10;15;13;8;2;9;33;14;5;8;1;15;6;1;5;10;0;0;2;3;0;8;9308;5729;3579;3817;164;498;52;64;10;69;19;69;3;12;65;39;7;33;3;99;7;3;4;66;16;2;10;19;10;16;6;2;7;27;7;40;63;84;5;78;15;1;6;15;12;4;61;0;62;5;17;3;0;0;3;3;3;4;13;0;7;0;7176;2328;4848;427;65;181;81;118;27;48;58;142;23;60;37;64;483;9;26;39;56;16;33;82;21;18;2;78;37;32;29;7;1;7;21;7441;3552;3889;1245;848;145;104;44;43;53;24;41;284;28;68;25;90;56;31;40;18;35;3;41;241;29;16;1893;448;1445;241;39;9;18;17;7;8;1;4;6;9;12;3;4;6;21;4;3;1;35;1123;238;885;59;4;13;13;6;51;3;12;11;13;4;1;9;3;0;13;15;2;6;0;686;142;544;12;16;5;21;10;9;10;0;10;7;7;8;11;9;7;387;71;316;28;3;4;0;0;1;15;13;5;2;325;30;295;1;9;2;15;3;108;15;93;6;6;0;3;645;67;578;24;31;12;144;19;125;3;5;1;10;62;17;45;17;474;28;446;11;17;1132;191;941;130;23;17;6;9;6;
04011000;Bremen;04011000-111;ORTSTEIL;Altstadt;;2480;1735;745;0;1459;772;687;25;1434;7127;1905;631;1274;322;147;10;9;8;0;20;21;4;3;1;1;0;1;7;1;2;0;6;0;6;0;0;20;7;5;2;1;0;0;2;1;0;8;2;0;3;2;0;2;1;1;2;0;0;3;0;0;0;0;0;0;0;1667;923;744;570;15;76;12;39;5;17;4;17;2;1;20;12;2;8;0;7;1;0;0;4;1;1;0;1;0;6;3;1;2;6;0;12;4;21;4;7;6;0;2;2;3;1;10;0;6;0;1;2;0;0;0;0;1;0;8;0;0;0;1144;297;847;66;13;19;16;28;7;2;5;6;2;9;16;6;45;2;5;0;5;3;0;24;2;3;1;8;2;0;0;0;0;2;0;815;386;429;123;98;8;8;5;11;1;2;7;27;7;8;3;14;5;13;7;9;2;1;8;17;2;0;606;155;451;78;19;3;9;2;2;5;0;1;2;1;6;2;2;1;2;0;1;1;18;317;75;242;15;1;6;7;2;23;1;1;2;5;1;0;7;2;0;1;0;1;0;0;87;19;68;5;0;0;1;1;0;4;0;0;0;1;3;1;3;0;76;16;60;8;1;1;0;0;0;5;1;0;0;57;5;52;0;1;1;2;1;16;2;14;1;1;0;0;88;1;87;1;0;0;44;9;35;1;3;1;4;5;1;4;1;85;6;79;3;3;215;31;184;18;5;2;1;2;3;
04011000;Bremen;04011000-111-99;BRIEFWAHLBEZIRK;Altstadt Briefwahl;111-99;0;0;0;0;680;0;680;6;674;3349;992;301;691;152;51;6;2;4;0;12;18;2;3;1;0;0;1;6;0;1;0;6;0;0;0;0;15;7;3;1;0;0;0;0;0;0;5;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;737;387;350;259;10;34;6;6;0;4;2;11;0;0;4;6;0;4;0;1;0;0;0;1;0;1;0;1;0;0;2;0;1;6;0;1;4;4;3;0;2;0;0;2;3;1;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;579;177;402;31;4;14;11;16;4;2;4;5;0;2;12;4;33;1;1;0;4;1;0;16;1;3;0;6;1;0;0;0;0;1;0;343;177;166;62;54;5;1;0;3;1;1;3;9;3;3;2;6;2;3;3;3;1;0;6;6;0;0;312;74;238;28;15;0;4;1;2;0;0;0;1;0;5;1;2;0;0;0;0;0;15;93;16;77;8;0;1;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;41;9;32;3;0;0;0;0;0;0;0;0;0;0;3;0;3;0;33;2;31;2;0;0;0;0;0;0;0;0;0;21;1;20;0;0;0;1;0;7;0;7;0;0;0;0;32;1;31;1;0;0;22;2;20;0;1;0;1;3;1;2;1;42;4;38;2;2;92;10;82;2;5;1;0;2;0;
04011000;Bremen;04011000-111-01;STIMMBEZIRK;Altstadt 01;111-01;1470;997;473;0;417;412;5;14;403;2001;394;131;263;57;44;3;3;1;0;4;1;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;516;278;238;166;5;22;4;9;5;5;2;2;2;0;5;0;1;1;0;3;1;0;0;0;0;0;0;0;0;5;1;0;1;0;0;8;0;15;1;0;1;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;314;49;265;14;9;1;1;3;2;0;0;0;0;5;3;1;6;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;262;128;134;34;30;2;3;3;5;0;1;3;8;4;5;1;3;3;2;3;5;0;0;2;11;0;0;160;45;115;32;1;3;5;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;133;37;96;5;0;5;0;0;18;1;0;1;4;0;0;1;0;0;1;0;1;0;0;18;3;15;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;23;6;17;5;0;1;0;0;0;0;0;0;0;22;0;22;0;0;0;0;0;7;2;5;1;1;0;0;41;0;41;0;0;0;12;4;8;1;2;1;0;2;0;2;0;25;2;23;1;1;72;12;60;8;0;0;1;0;3;
04011000;Bremen;04011000-111-02;STIMMBEZIRK;Altstadt 02;111-02;1010;738;272;0;362;360;2;5;357;1777;519;199;320;113;52;1;4;3;0;4;2;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;3;0;2;1;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;414;258;156;145;0;20;2;24;0;8;0;4;0;1;11;6;1;3;0;3;0;0;0;3;1;0;0;0;0;1;0;1;0;0;0;3;0;2;0;7;3;0;0;0;0;0;3;0;1;0;1;2;0;0;0;0;0;0;2;0;0;0;251;71;180;21;0;4;4;9;1;0;1;1;2;2;1;1;6;1;3;0;0;2;0;8;1;0;0;2;1;0;0;0;0;0;0;210;81;129;27;14;1;4;2;3;0;0;1;10;0;0;0;5;0;8;1;1;1;1;0;0;2;0;134;36;98;18;3;0;0;1;0;3;0;1;1;1;1;0;0;1;2;0;1;1;2;91;22;69;2;1;0;5;0;5;0;1;0;1;1;0;5;1;0;0;0;0;0;0;28;7;21;1;0;0;1;0;0;4;0;0;0;0;0;1;0;0;20;8;12;1;1;0;0;0;0;5;1;0;0;14;4;10;0;1;1;1;1;2;0;2;0;0;0;0;15;0;15;0;0;0;10;3;7;0;0;0;3;0;0;0;0;18;0;18;0;0;51;9;42;8;0;1;0;0;0;
04011000;Bremen;04011000-112;ORTSTEIL;Bahnhofsvorstadt;;3253;2369;880;4;1630;828;802;38;1592;7914;1745;600;1145;280;82;1;4;5;1;21;9;18;8;0;2;0;1;6;10;1;0;5;0;1;0;0;37;21;1;9;1;0;0;1;7;7;4;3;1;5;26;7;1;0;0;4;3;1;1;2;0;0;2;0;0;1;2037;1219;818;772;28;113;11;5;2;7;3;13;0;1;13;12;3;5;2;24;0;2;0;31;5;1;3;10;6;9;1;1;0;6;1;17;6;21;0;34;1;0;2;0;2;2;2;0;31;2;1;0;0;0;0;3;1;3;1;0;0;0;1290;377;913;83;17;18;17;26;2;2;13;6;4;12;4;13;71;0;3;12;9;1;9;13;7;1;0;9;9;7;3;2;1;0;3;1018;417;601;143;70;14;19;7;2;6;4;14;44;5;17;0;12;4;2;4;1;5;0;9;33;1;1;486;122;364;52;12;2;6;7;2;1;0;0;2;3;6;0;0;1;16;0;2;0;10;394;90;304;30;2;5;2;1;25;0;1;7;5;0;0;1;0;0;6;5;0;0;0;202;39;163;0;5;1;9;5;5;5;0;3;5;0;0;1;0;0;75;9;66;3;1;0;0;0;0;4;0;0;1;74;1;73;0;1;0;0;0;11;0;11;0;0;0;0;125;7;118;3;2;2;31;2;29;2;0;0;0;38;10;28;10;125;1;124;0;1;263;39;224;25;9;3;1;1;0;
04011000;Bremen;04011000-112-99;BRIEFWAHLBEZIRK;Bahnhofsvorstadt Briefwahl;112-99;0;0;0;0;788;0;788;14;774;3859;988;356;632;166;56;1;2;1;0;19;5;10;8;0;2;0;1;6;0;1;0;2;0;1;0;0;29;0;0;9;1;0;0;0;7;2;3;0;1;5;9;0;0;0;0;1;3;0;0;2;0;0;2;0;0;1;1056;645;411;390;9;68;8;2;1;5;2;8;0;0;9;6;1;2;1;9;0;0;0;31;0;1;0;0;5;1;1;1;0;4;0;7;0;11;0;24;1;0;1;0;1;2;0;0;29;0;1;0;0;0;0;1;1;0;1;0;0;0;642;155;487;36;8;6;5;15;0;1;1;2;3;4;3;3;35;0;0;10;0;0;1;8;4;0;0;3;3;0;0;1;1;0;2;447;182;265;74;41;8;6;1;1;2;0;4;16;0;1;0;1;2;1;3;1;1;0;6;11;1;1;222;55;167;31;1;0;5;5;2;0;0;0;0;1;5;0;0;0;5;0;0;0;0;131;27;104;12;0;0;0;0;6;0;1;2;5;0;0;0;0;0;1;0;0;0;0;94;13;81;0;0;0;3;0;0;5;0;0;5;0;0;0;0;0;30;4;26;2;0;0;0;0;0;1;0;0;1;34;0;34;0;0;0;0;0;3;0;3;0;0;0;0;44;1;43;0;0;1;7;0;7;0;0;0;0;12;4;8;4;35;0;35;0;0;114;19;95;12;3;2;1;1;0;
04011000;Bremen;04011000-112-01;STIMMBEZIRK;Bahnhofsvorstadt 01;112-01;920;725;194;1;261;256;5;9;252;1251;233;76;157;35;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;186;127;133;8;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;2;1;10;0;3;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;167;67;100;15;0;1;9;5;1;0;0;1;0;0;0;2;11;0;0;0;1;0;5;1;3;0;0;1;1;7;3;0;0;0;0;175;73;102;11;9;5;3;1;0;0;2;6;12;2;14;0;1;1;0;0;0;0;0;1;5;0;0;96;15;81;9;0;0;1;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;96;28;68;7;1;4;0;1;5;0;0;0;0;0;0;0;0;0;5;5;0;0;0;43;5;38;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;13;1;12;0;1;0;0;0;3;0;3;0;0;0;0;30;2;28;2;0;0;8;0;8;0;0;0;0;15;0;15;0;26;0;26;0;0;25;4;21;4;0;0;0;0;0;
